name	exptime
J0033-0125	1440
J0046-2837	1440
J0142-3327	1440
J0159-3633	1440
J0213-0626	1440
J0313-1806	2880
J0313-1806	2880
J0319-1008	1440
J0322-1841	1440
J0330-4025	1440
J0335-1547	1440
J0411-0907	1440
J0525-2406	1440
J0842+1218	2890
J0929-1121	1440
J1228-0233	1440
J1253-0246	2880
J1313-2617	2880
J1357-0843	2400
J1555-0653	1440
J1558-0724	1440
J1558-0724	1440
J1614+0114	1480
J1637+0241	2880
J1650+1617	1440
J1702+1301	1440
J1724+1901	1440
J1748+2246	1440
J2002-3013	1440
J2102-1458	1440
J2147+0107	1440
J2216-0500	1440
J2223+0326	1440
J2232+2930	1440
J2318-0246	1530
J2329-0301	1440
