A	gBand	rBand	iBand	zBand	JBand	HBand	KBand
1000	0.00023	0.00000	0.00000	0.10715	0.00000	0.00000	0.00000
1001	0.00023	0.00000	0.00000	0.10520	0.00000	0.00000	0.00020
1002	0.00023	0.00000	0.00000	0.10313	0.00000	0.00000	0.00020
1003	0.00023	0.00000	0.00000	0.09907	0.00000	0.00000	0.00020
1004	0.00023	0.00000	0.00000	0.09720	0.00000	0.00000	0.00020
1005	0.00023	0.00000	0.00000	0.09344	0.00000	0.00000	0.00020
1006	0.00024	0.00000	0.00000	0.09167	0.00000	0.00000	0.00020
1007	0.00024	0.00000	0.00000	0.08981	0.00000	0.00000	0.00020
1008	0.00024	0.00000	0.00000	0.08611	0.00000	0.00000	0.00020
1009	0.00024	0.00000	0.00000	0.08432	0.00000	0.00000	0.00020
1010	0.00025	0.00000	0.00000	0.08086	0.00000	0.00000	0.00020
1011	0.00025	0.00000	0.00000	0.07899	0.00000	0.00000	0.00020
1012	0.00025	0.00000	0.00000	0.07570	0.00000	0.00000	0.00020
1013	0.00025	0.00000	0.00000	0.07381	0.00000	0.00000	0.00020
1014	0.00025	0.00000	0.00000	0.07220	0.00000	0.00000	0.00020
1015	0.00025	0.00000	0.00000	0.06913	0.00000	0.00010	0.00020
1016	0.00026	0.00000	0.00000	0.06755	0.00000	0.00010	0.00020
1017	0.00026	0.00000	0.00000	0.06448	0.00000	0.00010	0.00020
1018	0.00026	0.00000	0.00000	0.06305	0.00000	0.00010	0.00020
1019	0.00026	0.00000	0.00000	0.05994	0.00000	0.00010	0.00020
1020	0.00017	0.00000	0.00000	0.05855	0.00000	0.00010	0.00020
1021	0.00017	0.00000	0.00000	0.05706	0.00000	0.00010	0.00020
1022	0.00017	0.00000	0.00000	0.05446	0.00000	0.00010	0.00020
1023	0.00017	0.00000	0.00000	0.05306	0.00000	0.00010	0.00030
1024	0.00017	0.00000	0.00000	0.05037	0.00000	0.00020	0.00030
1025	0.00017	0.00000	0.00000	0.04916	0.00000	0.00020	0.00030
1026	0.00017	0.00000	0.00000	0.04777	0.00000	0.00020	0.00030
1027	0.00017	0.00000	0.00000	0.04537	0.00000	0.00030	0.00030
1028	0.00017	0.00000	0.00000	0.04406	0.00000	0.00030	0.00040
1029	0.00017	0.00000	0.00000	0.04176	0.00000	0.00030	0.00040
1030	0.00017	0.00000	0.00000	0.04046	0.00000	0.00040	0.00040
1031	0.00016	0.00000	0.00000	0.03837	0.00000	0.00040	0.00050
1032	0.00016	0.00000	0.00000	0.03738	0.00000	0.00050	0.00050
1033	0.00016	0.00000	0.00000	0.03608	0.00000	0.00060	0.00060
1034	0.00016	0.00000	0.00000	0.03419	0.00000	0.00070	0.00070
1035	0.00016	0.00000	0.00000	0.03319	0.00000	0.00080	0.00080
