# Redshift  MKO->GROND  MMT->GROND  VISTA->GROND  SUBARU->GROND  UKIRT->GROND  FourStar->GROND  SOFI->GROND
5.70  0.056891  0.054337  0.041507  0.047426  0.053744  0.044242  0.028063
5.71  0.056692  0.054335  0.041468  0.047108  0.053976  0.044095  0.028031
5.72  0.056385  0.054289  0.041407  0.046734  0.054092  0.043966  0.027973
5.73  0.055984  0.054185  0.041326  0.046307  0.054120  0.043866  0.027934
5.74  0.055515  0.054017  0.041239  0.045834  0.053988  0.043802  0.027899
5.75  0.054998  0.053779  0.041157  0.045327  0.053780  0.043785  0.027869
5.76  0.054440  0.053470  0.041073  0.044803  0.053427  0.043813  0.027873
5.77  0.053831  0.053086  0.040982  0.044282  0.052954  0.043879  0.027900
5.78  0.053154  0.052622  0.040882  0.043768  0.052396  0.043974  0.027948
5.79  0.052392  0.052067  0.040745  0.043254  0.051682  0.044081  0.028008
5.80  0.051517  0.051410  0.040538  0.042724  0.050890  0.044190  0.028066
5.81  0.050529  0.050640  0.040260  0.042165  0.049908  0.044298  0.028116
5.82  0.049419  0.049746  0.039899  0.041564  0.048876  0.044410  0.028149
5.83  0.048197  0.048718  0.039451  0.040912  0.047669  0.044538  0.028171
5.84  0.046865  0.047539  0.038909  0.040199  0.046379  0.044691  0.028199
5.85  0.045413  0.046188  0.038259  0.039419  0.044880  0.044873  0.028218
5.86  0.043834  0.044639  0.037513  0.038557  0.043281  0.045078  0.028243
5.87  0.042115  0.042870  0.036629  0.037597  0.041454  0.045288  0.028288
5.88  0.040231  0.040854  0.035627  0.036512  0.039430  0.045479  0.028351
5.89  0.038177  0.038561  0.034485  0.035275  0.037191  0.045624  0.028427
5.90  0.035896  0.035960  0.033191  0.033850  0.034655  0.045711  0.028522
5.91  0.033366  0.033023  0.031738  0.032206  0.031894  0.045731  0.028659
5.92  0.030525  0.029740  0.030132  0.030316  0.028866  0.045684  0.028841
5.93  0.027365  0.026130  0.028346  0.028166  0.025643  0.045571  0.029076
5.94  0.023895  0.022253  0.026410  0.025739  0.022231  0.045392  0.029379
5.95  0.020194  0.018211  0.024298  0.023014  0.018721  0.045150  0.029765
5.96  0.016393  0.014123  0.022030  0.019978  0.015206  0.044847  0.030255
