Object	RA_deg	DEC_deg	RA_sex	DEC_sex	Redshift	Exposure_s	ObsDate	Mag	MagErr_plus	MagErr_minus	SNR	RefMag_AB_raw	ColourTerm	DeltaJ_corr	DeltaJErr_plus	DeltaJErr_minus	Instrument	RefSource	RefDate
J0033-0125	8.2975	-1.423583	00:33:11.40	-01:25:24.90	6.019	1440	2021-09-14	21.15	0.22	0.19	7.653	21.62	0.2	-0.464	0.275	0.294	SOFI/NNT	Willott2007	2006-11-12
J0046-2837	11.598521	-28.629817	00:46:23.65	-28:37:47.34	5.991	1440	2021-09-05	21.23	0.21	0.19	7.712	20.93	0.01	0.294	0.188	0.214	VIKINGDR5	Edge2013	2013-08-26
J0142-3327	25.682197	-33.46263	1:42:43.73	-33:27:45.47	6.3373	1440	2021-09-15	18.9	0.03	0.03	66.811	19.06	0.06	-0.162	0.066	0.066	VIKINGDR5	Edge2013	2013-12-04
J0159-3633	29.991548	-36.565723	1:59:57.97	-36:33:56.60	6.027	1440	2021-09-15	19.64	0.05	0.05	31.052	19.54	0.05	0.1	0.071	0.073	VHSDR7	McMahon2013	2013-12-22
J0213-0626	33.320583	-6.437569	2:13:16.94	-6:26:15.25	6.72	1440	2021-09-03	21.85	0.46	0.36	3.823	22.15	0.24	-0.296	0.428	0.521	MOIRCS	Matsuoka2018	2017-11-04
J0313-1806	48.432662	-18.110111	3:13:43.84	-18:6:36.40	7.6423	2880	2021-09-16	21.28	0.2	0.18	8.121	20.95	0.13	0.326	0.222	0.241	VHS	Wang2021	2015-12-26
J0313-1806	48.432662	-18.110111	3:13:43.84	-18:6:36.40	7.6423	2880	2021-09-10	21.64	0.39	0.31	4.481	20.95	0.13	0.686	0.336	0.407	VHS	Wang2021	2015-12-26
J0319-1008	49.923583	-10.146111	3:19:41.66	-10:8:46.00	6.8275	1440	2021-09-16	21.25	0.22	0.19	7.469	21.1	0.24	0.142	0.305	0.324	VHS	Yang2021	2016-09-14
J0322-1841	50.560605	-18.688185	3:22:14.55	-18:41:17.47	6.09	1440	2021-09-16	20.9	0.16	0.15	10.081	20.57	0.09	0.327	0.173	0.186	VHSDR7	McMahon2013	2015-12-27
J0330-4025	52.61632	-40.42121	3:30:27.92	-40:25:16.36	6.239	1440	2021-09-16	20.41	0.11	0.1	15.454	20.42	0.05	-0.007	0.113	0.119	VHSDR7	McMahon2013	2013-10-24
