Object	PreciseRA	PreciseDEC	PreciseRA_sex	PreciseDEC_sex	Redshift	BHmass_1e8Msun	ALPHA_J2000	DELTA_J2000	MAG_APER	MAGERR_APER	FLUX_APER	FLUXERR_APER	X_IMAGE	Y_IMAGE	Aperture	ZPD	ZPD_ERR	Background_ERR	MAGERR_FROMFLUXAPER_PLUS	MAGERR_FROMFLUXAPER_MINUS	Background_ERR_upper	Background_ERR_lower	MAGERRTOT_upper	MAGERRTOT_lower	ObservationDate	SNR
J0033-0125_ap5p0_ZPD24p4830_ERR0p0170.cat	8.2975	-1.423583	00:33:11.40	-01:25:24.90	6.019	2.27	8.2975976	-1.4237171	21.1528	0.1414	21.48196	2.796566	507.8561	481.0446	5.0	24.483	0.017	2.8070687049277687	0.1514291094239737	0.13287103174682313	0.1520395526900411	0.13334061137606312	0.21525752196642417	0.18900642772034917	2021-09-14	7.652808768908552
J0033-0125_ap7p0_ZPD24p4830_ERR0p0170.cat	8.2975	-1.423583	00:33:11.40	-01:25:24.90	6.019	2.27	8.2975976	-1.4237171	21.0863	0.1857	22.83863	3.904816	507.8561	481.0446	7.0	24.483	0.017	3.929834593842225	0.203579855758365	0.17136829595879455	0.2050154648514213	0.17238353143831375	0.2894220076269962	0.2436640613036012	2021-09-14	5.811600833222479
J0046-2837_ap5p0_ZPD24p5070_ERR0p0250.cat	11.598521	-28.629817	00:46:23.65	-28:37:47.34	5.991	3.51	11.5986244	-28.629894	21.2288	0.1394	20.4784	2.629272	507.5014	500.7873	5.0	24.507	0.025	2.6554466301406023	0.14919754436626675	0.13115043158228046	0.15079087716876627	0.13237957575690285	0.21359493412122418	0.1880153924065687	2021-09-05	7.711847704849446
J0046-2837_ap7p0_ZPD24p5070_ERR0p0250.cat	11.598521	-28.629817	00:46:23.65	-28:37:47.34	5.991	3.51	11.5986244	-28.629894	21.0065	0.1592	25.13031	3.684469	507.5014	500.7873	7.0	24.507	0.025	3.717626239908516	0.17213691039570111	0.1485436176995134	0.17381685730018992	0.1497922588582421	0.24590326513141753	0.21243334760134483	2021-09-05	6.759773139706055
J0142-3327_ap5p0_ZPD24p4520_ERR0p0190.cat	25.682197	-33.46263	01:42:43.73	-33:27:45.47	6.3373	25.89	25.6821738	-33.4626525	18.8986	0.0163	166.4826	2.491405	506.5359	504.9189	5.0	24.452	0.019	2.4918367920051954	0.016370797915779	0.01612762011947222	0.016373656684081972	0.016130394579449536	0.029951621952866863	0.029686524889362513	2021-09-15	66.81119748056634
J0142-3327_ap7p0_ZPD24p4520_ERR0p0190.cat	25.682197	-33.46263	01:42:43.73	-33:27:45.47	6.3373	25.89	25.6821738	-33.4626525	18.8244	0.0212	178.2595	3.479459	506.5359	504.9189	7.0	24.452	0.019	3.4885640932643325	0.021402117870580106	0.020988380125108286	0.02145868031817777	0.021042773975664453	0.03577045722861191	0.03527478471751375	2021-09-15	51.098244215773704
J0159-3633_ap5p0_ZPD24p4160_ERR0p0170.cat	29.991548	-36.565723	01:59:57.97	-36:33:56.60	6.027	64.4	29.9916142	-36.5657816	19.6438	0.0356	81.07103	2.660629	510.4813	501.1383	5.0	24.416	0.017	2.610851365062445	0.03623003957244997	0.03506001343506693	0.03554099536315736	0.03441436217037541	0.05352362206376978	0.051986083384506276	2021-09-15	31.05156849787233
J0159-3633_ap7p0_ZPD24p4160_ERR0p0170.cat	29.991548	-36.565723	01:59:57.97	-36:33:56.60	6.027	64.4	29.9916142	-36.5657816	19.5294	0.0449	90.08346	3.725202	510.4813	501.1383	7.0	24.416	0.017	3.6551928862894973	0.045852963280977654	0.0439947076570526	0.044973132709373864	0.04318412358662549	0.06643851975579858	0.0639484388533017	2021-09-15	24.645336867966655
J0213-0626_ap5p0_ZPD24p4640_ERR0p0210.cat	33.320583	-6.437569	02:13:16.94	-06:26:15.25	6.72	--	33.3205128	-6.4375864	21.851	0.2815	11.09706	2.876359	510.4795	491.5175	5.0	24.464	0.021	2.9024301411715876	0.32574770422825416	0.25023686896719255	0.3291964809739931	0.2522607121021787	0.46359776735402725	0.3559423513166172	2021-09-03	3.8233685085424964
J0213-0626_ap7p0_ZPD24p4640_ERR0p0210.cat	33.320583	-6.437569	02:13:16.94	-06:26:15.25	6.72	--	33.3205128	-6.4375864	21.906	0.4135	10.54865	4.016811	510.4795	491.5175	7.0	24.464	0.021	4.0634196478340705	0.520403528397452	0.3503183796138396	0.5281786905788666	0.3537871268537911	0.7417772991606872	0.4983264976124857	2021-09-03	2.5960030994147405
J0313-1806(dup)_ap5p0_ZPD24p4940_ERR0p0200.cat	48.432662	-18.110111	03:13:43.84	-18:06:36.40	7.6423	16.09	48.4326729	-18.110138	21.2792	0.1346	19.3155	2.394708	503.4509	492.3839	5.0	24.494	0.02	2.378366130447106	0.143713169612405	0.1268950739740582	0.14266508646205667	0.12607750278421603	0.20348661384786465	0.17999415686956538	2021-09-16	8.121331595135398
J0313-1806(dup)_ap7p0_ZPD24p4940_ERR0p0200.cat	48.432662	-18.110111	03:13:43.84	-18:06:36.40	7.6423	16.09	48.4326729	-18.110138	21.2865	0.1894	19.18688	3.346784	503.4509	492.3839	7.0	24.494	0.02	3.329726274242829	0.20811637508100445	0.1745686372208275	0.2069478073110269	0.17374643610204554	0.29417651253575505	0.2471073312536459	2021-09-16	5.762299486423413
J0313-1806_ap5p0_ZPD24p4280_ERR0p0390.cat	48.432662	-18.110111	03:13:43.84	-18:06:36.40	7.6423	16.09	48.4326699	-18.1101201	21.639	0.2384	13.04991	2.864184	495.9426	495.7302	5.0	24.428	0.039	2.912060993189237	0.2690388180579566	0.21543600614067415	0.2741542449472689	0.21869750181027126	0.3860873419896454	0.30945479482454	2021-09-10	4.481331273802742
J0313-1806_ap7p0_ZPD24p4280_ERR0p0390.cat	48.432662	-18.110111	03:13:43.84	-18:06:36.40	7.6423	16.09	48.4326699	-18.1101201	22.2297	0.5752	7.574224	4.011711	495.9426	495.7302	7.0	24.428	0.039	4.076895518349927	0.8189542174659992	0.46148235718744024	0.8390043001792526	0.4675737813090639	1.173087902087744	0.6581126096367798	2021-09-10	1.8578410866574215
J0319-1008_ap5p0_ZPD24p4870_ERR0p0100.cat	49.923583	-10.146111	03:19:41.66	-10:08:46.00	6.8275	3.98	49.9236849	-10.146146	21.2464	0.1466	19.78134	2.669625	500.7461	495.0197	5.0	24.487	0.01	2.6485619581198927	0.15740542323039008	0.1374482630004743	0.15606979767404017	0.1364291691023154	0.22188791992434842	0.19391994013972808	2021-09-16	7.468709553633389
J0319-1008_ap7p0_ZPD24p4870_ERR0p0100.cat	49.923583	-10.146111	03:19:41.66	-10:08:46.00	6.8275	3.98	49.9236849	-10.146146	21.3192	0.2188	18.49788	3.727411	500.7461	495.0197	7.0	24.487	0.01	3.7079532454232753	0.2443191806615972	0.19931374557330317	0.24288983635688766	0.19836279101986465	0.3446553853411112	0.28137833256249484	2021-09-16	4.98870367980824
J0322-1841_ap5p0_ZPD24p4730_ERR0p0160.cat	50.560605	-18.688185	03:22:14.55	-18:41:17.47	6.09	--	50.5606301	-18.6881807	20.9013	0.1086	26.83401	2.683315	494.8253	499.881	5.0	24.473	0.016	2.661818013348458	0.1143898601162725	0.10347854956089098	0.1134238558190992	0.10268753750539616	0.1618827080521332	0.1466579032242992	2021-09-16	10.081083629847374
J0322-1841_ap7p0_ZPD24p4730_ERR0p0160.cat	50.560605	-18.688185	03:22:14.55	-18:41:17.47	6.09	--	50.5606301	-18.6881807	20.7472	0.132	30.92595	3.75783	494.8253	499.881	7.0	24.473	0.016	3.7265511532424065	0.14065865644140985	0.12450843355585972	0.13940935977181335	0.12352884312768309	0.1986852466185888	0.17611849735617685	2021-09-16	8.298812689875966
