ra_deg	dec_deg	ra_sex	dec_sex	mag_ref	magerr_ref	date	instrument	reference	system	to_AB_offset
8.297500	-1.423583	00:33:11.40	-01:25:24.90	21.58000	0.200000	2006-11-12	SOFI/NNT	Willott2007	AB	0
11.598521	-28.629817	00:46:23.65	-28:37:47.34	20.92000	0.008000	2013-08-26	VIKINGDR5	Edge2013	AB	0
25.682197	-33.462630	01:42:43.73	-33:27:45.47	18.160755	0.058981	2013-12-04	VIKINGDR5	Edge2013	Vega	0.937
29.991548	-36.565723	01:59:57.97	-36:33:56.60	18.602630	0.049034	2013-12-22	VHSDR7	McMahon2013	Vega	0.937
33.320583	-6.437569	02:13:16.94	-06:26:15.25	22.060500	0.238260	2017-11-04	MOIRCS	Matsuoka2018	AB	0
48.432662	-18.110111	03:13:43.84	-18:06:36.40	20.920000	0.130000	2015-12-26	VHS	Wang2021	AB	0
48.432662	-18.110111	03:13:43.84	-18:06:36.40	20.920000	0.130000	2015-12-26	VHS	Wang2021	AB	0
49.923583	-10.146111	03:19:41.66	-10:08:46.00	20.082376	0.235650	2016-09-14	VHS	Yang2021	Vega	0.937
50.560605	-18.688185	03:22:14.55	-18:41:17.47	20.590000	0.091424	2015-12-27	VHS	McMahon2013	AB	0
52.616320	-40.421210	03:30:27.92	-40:25:16.36	20.446300	0.052711	2013-10-24	VHS	McMahon2013	AB	0
53.960524	-15.795694	03:35:50.53	-15:47:44.50	19.733702	0.126870	2017-01-07	VHSDR7	McMahon2013	Vega	0.937
62.869283	-9.130473	04:11:28.63	-09:07:49.70	19.079054	0.135439	2017-01-15	VHS	Pons2019	Vega	0.937
81.498646	-24.106383	05:25:59.68	-24:06:22.98	20.557090	0.164212	2018-12-11	VHSDR7	Yang2021	Vega	0.937
130.622625	12.314028	08:42:29.43	+12:18:50.50	18.840000	0.030000	2010-03-25	SWIRC/MMT	Jiang2015	Vega	0.937
142.399025	-11.360447	09:29:35.77	-11:21:37.61	19.292234	0.211592	2011-03-03	VHSDR7	Banados23	Vega	0.937
187.104790	-2.560903	12:28:25.15	-02:33:39.25	20.832376	0.133881	2011-05-12	VIKINGDR5	Edge2013	AB	0
193.399241	-2.782035	12:53:35.82	-02:46:55.33	20.630000	0.170000	2015-02-23	VIKINGDR5	Edge2013	AB	0
198.358593	-26.289398	13:13:26.06	-26:17:21.83	19.098000	0.047500	2015-03-07	VHS	Banados16b	AB	0
209.382561	-8.717147	13:57:31.81	-08:43:01.73	--------	--------	--------	-	Banados2023	-	-
238.851033	-6.897663	15:55:24.25	-06:53:51.59	20.420000	0.240800	2010-09-04	VHS	McMahon2013	AB	0
239.712461	-7.402664	15:58:50.99	-07:24:09.59	19.374000	0.072600	2010-07-02	VHS	RossCross2020	AB	0
239.712461	-7.402664	15:58:50.99	-07:24:09.59	19.374000	0.072600	2010-07-02	VHS	RossCross2020	AB	0
243.647333	1.245777	16:14:35.36	+01:14:44.80	20.063000	0.125000	2013-03-07	UHS	Dye2018	AB	0
249.467406	2.699555	16:37:52.18	+02:41:58.40	17.737059	0.038957	2012-06-30	UHSDR2	Dye2018	Vega	0.937
252.676080	16.289307	16:50:42.26	+16:17:21.51	19.528000	0.083700	2015‑07‑13	VHS	Wang2023	AB	0
255.688797	13.017288	17:02:45.31	+13:01:02.24	--------	--------	--------	-	Liu2024	-	-
261.036428	19.028645	17:24:08.74	+19:01:43.12	21.090000	0.180000	2016-06-10	GROND	Mazzucchelli2017	AB	0
267.002116	22.781216	17:48:00.51	+22:46:52.38	--------	--------	--------	-	RossCross2020	-	-
300.673308	-30.222692	20:02:41.59	-30:13:21.69	19.018778	0.155124	2015-07-13	VHS	McMahon2013	Vega	0.937
315.580112	-14.981629	21:02:19.23	-14:58:53.86	20.210000	0.200000	2020-01-13	VHS	Wang2019	Vega	0.937
322.792863	-43.984017	21:31:10.29	-43:59:02.50	21.267000	0.179100	2012-10-04	VHS	RossCross2020	AB	0
326.980870	1.132028	21:47:55.41	+01:07:55.30	20.999000	0.110700	2011-10-07	VHS	Jiang2009	AB	0
334.018158	-5.004885	22:16:04.36	-05:00:17.59	20.710000	0.230000	2011-10-13	VHS	McMahon2013	AB	0
335.789625	3.438972	22:23:09.51	+03:26:20.30	20.883804	0.228368	2013-10-29	UHS	RossCross2020	AB	0
338.229808	29.508955	22:32:55.15	+29:30:32.24	20.455000	0.117000	2018-10-07	UKIRT	Wang2019	AB	0
349.511660	-2.776111	23:18:02.80	-02:46:34.00	21.600000	0.110000 	2007-09-13	NIRI	Willott2009	AB	0
352.284500	-3.033000	23:29:08.28	-03:01:58.80	21.560000	0.250000	2006-11-07	SOFI/NNT	Willott2007	AB	0
352.403485	-15.337350	23:29:36.84	-15:20:14.46	20.990000	0.030000	2017-09-25	FourStar	Banados18b	AB	0
