Object	RA_deg	DEC_deg	RA_sex	DEC_sex	Redshift	Exposure_s	ObsDate	Mag	MagErr_plus	MagErr_minus	SNR	RefMag_AB_raw	RefMagErr	ColourTerm	RefMag_AB_corr	DeltaJ_corr	DeltaJErr_plus	DeltaJErr_minus	Instrument	RefSource	RefDate
J0033-0125	8.297500	-1.423583	00:33:11.40	-01:25:24.90	6.02	1440	2021-09-14	21.153	0.215	0.189	7.653	21.580	0.200	0.037	21.617	-0.464	0.275	0.294	SOFI/NNT	Willott2007	2006-11-12
J0033-0125	8.297500	-1.423583	00:33:11.40	-01:25:24.90	6.02	1440	2021-09-14	21.086	0.289	0.244	5.812	21.580	0.200	0.037	21.617	-0.530	0.315	0.352	SOFI/NNT	Willott2007	2006-11-12
J0046-2837	11.598521	-28.629817	00:46:23.65	-28:37:47.34	5.99	1440	2021-09-05	21.229	0.214	0.188	7.712	20.920	0.008	0.015	20.935	0.294	0.188	0.214	VIKINGDR5	Edge2013	2013-08-26
J0046-2837	11.598521	-28.629817	00:46:23.65	-28:37:47.34	5.99	1440	2021-09-05	21.006	0.246	0.212	6.760	20.920	0.008	0.015	20.935	0.072	0.213	0.246	VIKINGDR5	Edge2013	2013-08-26
J0142-3327	25.682197	-33.462630	01:42:43.73	-33:27:45.47	6.34	1440	2021-09-15	18.899	0.030	0.030	66.811	19.098	0.059	-0.037	19.061	-0.162	0.066	0.066	VIKINGDR5	Edge2013	2013-12-04
J0142-3327	25.682197	-33.462630	01:42:43.73	-33:27:45.47	6.34	1440	2021-09-15	18.824	0.036	0.035	51.098	19.098	0.059	-0.037	19.061	-0.237	0.069	0.069	VIKINGDR5	Edge2013	2013-12-04
J0159-3633	29.991548	-36.565723	01:59:57.97	-36:33:56.60	6.03	1440	2021-09-15	19.644	0.054	0.052	31.052	19.540	0.049	0.004	19.544	0.100	0.071	0.073	VHSDR7	McMahon2013	2013-12-22
J0159-3633	29.991548	-36.565723	01:59:57.97	-36:33:56.60	6.03	1440	2021-09-15	19.529	0.066	0.064	24.645	19.540	0.049	0.004	19.544	-0.014	0.081	0.083	VHSDR7	McMahon2013	2013-12-22
J0213-0626	33.320583	-6.437569	02:13:16.94	-06:26:15.25	6.72	1440	2021-09-03	21.851	0.464	0.356	3.823	22.061	0.238	0.086	22.147	-0.296	0.428	0.521	MOIRCS	Matsuoka2018	2017-11-04
J0213-0626	33.320583	-6.437569	02:13:16.94	-06:26:15.25	6.72	1440	2021-09-03	21.906	0.742	0.498	2.596	22.061	0.238	0.086	22.147	-0.241	0.552	0.779	MOIRCS	Matsuoka2018	2017-11-04
J0313-1806	48.432662	-18.110111	03:13:43.84	-18:06:36.40	7.64	2880	2021-09-16	21.279	0.203	0.180	8.121	20.920	0.130	0.033	20.953	0.326	0.222	0.241	VHS	Wang2021	2015-12-26
J0313-1806	48.432662	-18.110111	03:13:43.84	-18:06:36.40	7.64	2880	2021-09-16	21.287	0.294	0.247	5.762	20.920	0.130	0.033	20.953	0.333	0.279	0.322	VHS	Wang2021	2015-12-26
J0313-1806	48.432662	-18.110111	03:13:43.84	-18:06:36.40	7.64	2880	2021-09-10	21.639	0.386	0.309	4.481	20.920	0.130	0.033	20.953	0.686	0.336	0.407	VHS	Wang2021	2015-12-26
J0313-1806	48.432662	-18.110111	03:13:43.84	-18:06:36.40	7.64	2880	2021-09-10	22.230	1.173	0.658	1.858	20.920	0.130	0.033	20.953	1.277	0.671	1.180	VHS	Wang2021	2015-12-26
J0319-1008	49.923583	-10.146111	03:19:41.66	-10:08:46.00	6.83	1440	2021-09-16	21.246	0.222	0.194	7.469	21.019	0.236	0.085	21.105	0.142	0.305	0.324	VHS	Yang2021	2016-09-14
J0319-1008	49.923583	-10.146111	03:19:41.66	-10:08:46.00	6.83	1440	2021-09-16	21.319	0.345	0.281	4.989	21.019	0.236	0.085	21.105	0.215	0.367	0.418	VHS	Yang2021	2016-09-14
J0322-1841	50.560605	-18.688185	03:22:14.55	-18:41:17.47	6.09	1440	2021-09-16	20.901	0.162	0.147	10.081	20.590	0.091	-0.008	20.582	0.320	0.173	0.186	VHS	McMahon2013	2015-12-27
J0322-1841	50.560605	-18.688185	03:22:14.55	-18:41:17.47	6.09	1440	2021-09-16	20.747	0.199	0.176	8.299	20.590	0.091	-0.008	20.582	0.165	0.198	0.219	VHS	McMahon2013	2015-12-27
J0330-4025	52.616320	-40.421210	03:30:27.92	-40:25:16.36	6.24	1440	2021-09-16	20.412	0.107	0.100	15.454	20.446	0.053	-0.027	20.419	-0.007	0.113	0.119	VHS	McMahon2013	2013-10-24
J0330-4025	52.616320	-40.421210	03:30:27.92	-40:25:16.36	6.24	1440	2021-09-16	20.205	0.124	0.115	13.352	20.446	0.053	-0.027	20.419	-0.214	0.126	0.134	VHS	McMahon2013	2013-10-24
J0335-1547	53.960524	-15.795694	03:35:50.53	-15:47:44.50	5.87	1440	2021-03-13	20.802	0.261	0.224	6.426	20.671	0.127	0.037	20.707	0.094	0.257	0.291	VHSDR7	McMahon2013	2017-01-07
J0335-1547	53.960524	-15.795694	03:35:50.53	-15:47:44.50	5.87	1440	2021-03-13	20.484	0.274	0.233	6.150	20.671	0.127	0.037	20.707	-0.224	0.265	0.302	VHSDR7	McMahon2013	2017-01-07
J0411-0907	62.869283	-9.130473	04:11:28.63	-09:07:49.70	6.83	1440	2021-09-13	20.034	0.077	0.074	20.645	20.016	0.135	0.085	20.101	-0.067	0.154	0.156	VHS	Pons2019	2017-01-15
J0411-0907	62.869283	-9.130473	04:11:28.63	-09:07:49.70	6.83	1440	2021-09-13	19.847	0.091	0.086	17.524	20.016	0.135	0.085	20.101	-0.255	0.160	0.163	VHS	Pons2019	2017-01-15
J0525-2406	81.498646	-24.106383	05:25:59.68	-24:06:22.98	6.54	1440	2021-09-14	22.124	0.554	0.406	3.266	21.494	0.164	0.032	21.527	0.598	0.438	0.577	VHSDR7	Yang2021	2018-12-11
J0525-2406	81.498646	-24.106383	05:25:59.68	-24:06:22.98	6.54	1440	2021-09-14	21.865	0.624	0.442	2.962	21.494	0.164	0.032	21.527	0.339	0.472	0.645	VHSDR7	Yang2021	2018-12-11
J0842+1218	130.622625	12.314028	08:42:29.43	+12:18:50.50	6.08	2890	2021-03-17	19.818	0.081	0.077	19.653	19.777	0.030	-0.014	19.763	0.055	0.083	0.087	SWIRC/MMT	Jiang2015	2010-03-25
J0842+1218	130.622625	12.314028	08:42:29.43	+12:18:50.50	6.08	2890	2021-03-17	19.722	0.104	0.098	15.336	19.777	0.030	-0.014	19.763	-0.041	0.102	0.108	SWIRC/MMT	Jiang2015	2010-03-25
J0929-1121	142.399025	-11.360447	09:29:35.77	-11:21:37.61	5.61	1440	2021-03-15	21.250	0.387	0.309	4.541	20.229	0.212	0.042	20.271	0.980	0.375	0.441	VHSDR7	Banados23	2011-03-03
J0929-1121	142.399025	-11.360447	09:29:35.77	-11:21:37.61	5.61	1440	2021-03-15	21.137	0.507	0.380	3.601	20.229	0.212	0.042	20.271	0.866	0.435	0.549	VHSDR7	Banados23	2011-03-03
J1228-0233	187.104790	-2.560903	12:28:25.15	-02:33:39.25	5.77	1440	2021-03-21	21.052	0.284	0.240	5.950	20.832	0.134	0.041	20.873	0.179	0.275	0.314	VIKINGDR5	Edge2013	2011-05-12
J1228-0233	187.104790	-2.560903	12:28:25.15	-02:33:39.25	5.77	1440	2021-03-21	21.013	0.397	0.315	4.408	20.832	0.134	0.041	20.873	0.140	0.343	0.419	VIKINGDR5	Edge2013	2011-05-12
J1253-0246	193.399241	-2.782035	12:53:35.82	-02:46:55.33	5.80	2880	2021-03-17	21.096	0.250	0.215	6.671	20.630	0.170	0.041	20.671	0.425	0.274	0.302	VIKINGDR5	Edge2013	2015-02-23
J1253-0246	193.399241	-2.782035	12:53:35.82	-02:46:55.33	5.80	2880	2021-03-17	21.292	0.444	0.344	3.978	20.630	0.170	0.041	20.671	0.621	0.384	0.476	VIKINGDR5	Edge2013	2015-02-23
J1313-2617	198.358593	-26.289398	13:13:26.06	-26:17:21.83	5.54	2880	2021-03-17	19.425	0.050	0.048	32.362	19.098	0.048	0.042	19.140	0.286	0.068	0.069	VHS	Banados16b	2015-03-07
J1313-2617	198.358593	-26.289398	13:13:26.06	-26:17:21.83	5.54	2880	2021-03-17	19.219	0.057	0.055	27.945	19.098	0.048	0.042	19.140	0.080	0.073	0.074	VHS	Banados16b	2015-03-07
J1555-0653	238.851033	-6.897663	15:55:24.25	-06:53:51.59	5.88	1440	2021-09-14	20.284	0.132	0.122	12.210	20.420	0.241	0.036	20.456	-0.172	0.270	0.275	VHS	McMahon2013	2010-09-04
J1555-0653	238.851033	-6.897663	15:55:24.25	-06:53:51.59	5.88	1440	2021-09-14	20.140	0.163	0.148	9.960	20.420	0.241	0.036	20.456	-0.316	0.282	0.291	VHS	McMahon2013	2010-09-04
J1558-0724	239.712461	-7.402664	15:58:50.99	-07:24:09.59	6.11	1440	2021-03-14	19.492	0.057	0.055	27.853	19.374	0.073	-0.011	19.363	0.129	0.091	0.092	VHS	RossCross2020	2010-07-02
J1558-0724	239.712461	-7.402664	15:58:50.99	-07:24:09.59	6.11	1440	2021-03-14	19.430	0.075	0.072	21.068	19.374	0.073	-0.011	19.363	0.067	0.102	0.105	VHS	RossCross2020	2010-07-02
J1558-0724	239.712461	-7.402664	15:58:50.99	-07:24:09.59	6.11	1440	2021-03-14	19.487	0.057	0.055	28.247	19.374	0.073	-0.011	19.363	0.124	0.091	0.092	VHS	RossCross2020	2010-07-02
J1558-0724	239.712461	-7.402664	15:58:50.99	-07:24:09.59	6.11	1440	2021-03-14	19.433	0.076	0.073	21.201	19.374	0.073	-0.011	19.363	0.070	0.103	0.105	VHS	RossCross2020	2010-07-02
J1614+0114	243.647317	1.245777	16:14:35.36	+01:14:44.80	5.78	1480	2021-09-10	20.337	0.149	0.136	10.733	20.063	0.125	0.052	20.115	0.221	0.185	0.195	UHS	Dye2018	2013-03-07
J1614+0114	243.647317	1.245777	16:14:35.36	+01:14:44.80	5.78	1480	2021-09-10	20.158	0.179	0.160	9.039	20.063	0.125	0.052	20.115	0.043	0.203	0.218	UHS	Dye2018	2013-03-07
J1637+0241	249.467406	2.699555	16:37:52.18	+02:41:58.40	5.76	2880	2021-09-16	18.850	0.043	0.042	36.809	18.674	0.039	0.053	18.727	0.123	0.058	0.058	UHSDR2	Dye2018	2012-06-30
J1637+0241	249.467406	2.699555	16:37:52.18	+02:41:58.40	5.76	2880	2021-09-16	18.694	0.052	0.051	30.375	18.674	0.039	0.053	18.727	-0.034	0.064	0.065	UHSDR2	Dye2018	2012-06-30
J1650+1617	252.676080	16.289307	16:50:42.26	+16:17:21.51	5.52	1440	2021-09-17	19.573	0.084	0.080	19.193	19.528	0.084	0.042	19.570	0.003	0.116	0.119	VHS	Wang2023	2015‑07‑13
J1650+1617	252.676080	16.289307	16:50:42.26	+16:17:21.51	5.52	1440	2021-09-17	19.381	0.099	0.093	16.364	19.528	0.084	0.042	19.570	-0.189	0.125	0.130	VHS	Wang2023	2015‑07‑13
J1702+1301	255.688797	13.017288	17:02:45.31	+13:01:02.24	5.47	1440	2021-09-04	20.560	0.163	0.147	9.886	-	-	-	-	-	-	-	-	Liu2024	-
J1702+1301	255.688797	13.017288	17:02:45.31	+13:01:02.24	5.47	1440	2021-09-04	20.447	0.208	0.183	7.836	-	-	-	-	-	-	-	-	Liu2024	-
J1724+1901	261.036428	19.028645	17:24:08.74	+19:01:43.12	6.48	1440	2021-09-02	22.528	2.749	0.931	1.194	21.090	0.180	-	21.090	1.438	0.948	2.755	GROND	Mazzucchelli2017	2016-06-10
J1724+1901	261.036428	19.028645	17:24:08.74	+19:01:43.12	6.48	1440	2021-09-02	99.000	0.009	0.009	-0.201	21.090	0.180	-	21.090	77.910	0.180	0.180	GROND	Mazzucchelli2017	2016-06-10
J1748+2246	267.002116	22.781216	17:48:00.51	+22:46:52.38	5.95	1440	2021-09-03	21.220	0.376	0.302	4.584	-	-	-	-	-	-	-	-	RossCross2020	-
J1748+2246	267.002116	22.781216	17:48:00.51	+22:46:52.38	5.95	1440	2021-09-03	20.932	0.407	0.322	4.270	-	-	-	-	-	-	-	-	RossCross2020	-
J2002-3013	300.673308	-30.222692	20:02:41.59	-30:13:21.69	6.69	1440	2021-09-03	20.443	0.129	0.119	12.414	19.956	0.155	0.074	20.030	0.413	0.196	0.202	VHS	McMahon2013	2015-07-13
J2002-3013	300.673308	-30.222692	20:02:41.59	-30:13:21.69	6.69	1440	2021-09-03	20.177	0.142	0.130	11.331	19.956	0.155	0.074	20.030	0.147	0.203	0.211	VHS	McMahon2013	2015-07-13
J2102-1458	315.580112	-14.981629	21:02:19.23	-14:58:53.86	6.66	1440	2021-09-04	21.038	0.201	0.178	8.039	21.147	0.200	0.070	21.217	-0.179	0.268	0.284	VHS	Wang2019	2020-01-13
J2102-1458	315.580112	-14.981629	21:02:19.23	-14:58:53.86	6.66	1440	2021-09-04	21.171	0.331	0.272	5.081	21.147	0.200	0.070	21.217	-0.046	0.338	0.387	VHS	Wang2019	2020-01-13
J2131-4359	322.792863	-43.984017	21:31:10.29	-43:59:02.46	6.45	1440	2021-09-02	21.455	0.501	0.377	3.565	21.267	0.179	-0.017	21.250	0.205	0.418	0.532	VHS	RossCross2020	2012-10-04
J2131-4359	322.792863	-43.984017	21:31:10.29	-43:59:02.46	6.45	1440	2021-09-02	21.386	0.701	0.479	2.714	21.267	0.179	-0.017	21.250	0.136	0.512	0.723	VHS	RossCross2020	2012-10-04
J2147+0107	326.980870	1.132028	21:47:55.41	+01:07:55.30	5.81	1440	2021-09-05	21.623	0.342	0.279	4.977	20.999	0.111	0.040	21.039	0.584	0.301	0.359	VHS	Jiang2009	2011-10-07
J2147+0107	326.980870	1.132028	21:47:55.41	+01:07:55.30	5.81	1440	2021-09-05	21.662	0.525	0.391	3.429	20.999	0.111	0.040	21.039	0.623	0.406	0.536	VHS	Jiang2009	2011-10-07
J2216-0500	334.018158	-5.004885	22:16:04.36	-05:00:17.59	6.15	1440	2021-09-05	20.999	0.233	0.202	7.076	20.710	0.230	-0.014	20.696	0.303	0.306	0.327	VHS	McMahon2013	2011-10-13
J2216-0500	334.018158	-5.004885	22:16:04.36	-05:00:17.59	6.15	1440	2021-09-05	20.822	0.281	0.238	5.951	20.710	0.230	-0.014	20.696	0.126	0.331	0.363	VHS	McMahon2013	2011-10-13
J2223+0326	335.789625	3.438972	22:23:09.51	+03:26:20.30	6.05	1440	2021-09-03	21.185	0.270	0.230	6.158	20.884	0.228	-0.009	20.875	0.310	0.324	0.354	UHS	RossCross2020	2013-10-29
J2223+0326	335.789625	3.438972	22:23:09.51	+03:26:20.30	6.05	1440	2021-09-03	21.062	0.346	0.282	4.927	20.884	0.228	-0.009	20.875	0.187	0.363	0.415	UHS	RossCross2020	2013-10-29
J2232+2930	338.229808	29.508955	22:32:55.15	+29:30:32.24	6.67	1440	2021-09-03	20.890	0.238	0.206	6.979	20.455	0.117	0.080	20.535	0.355	0.237	0.265	UKIRT	Wang2019	2018-10-07
J2232+2930	338.229808	29.508955	22:32:55.15	+29:30:32.24	6.67	1440	2021-09-03	20.729	0.292	0.245	5.779	20.455	0.117	0.080	20.535	0.195	0.272	0.315	UKIRT	Wang2019	2018-10-07
J2318-0246	349.511660	-2.776111	23:18:02.80	-02:46:34.00	6.05	1530	2021-09-14	21.916	0.418	0.329	4.183	21.600	0.110	-0.008	21.592	0.324	0.347	0.433	NIRI	Willott2009	2007-09-13
J2318-0246	349.511660	-2.776111	23:18:02.80	-02:46:34.00	6.05	1530	2021-09-14	21.623	0.451	0.348	3.915	21.600	0.110	-0.008	21.592	0.031	0.365	0.464	NIRI	Willott2009	2007-09-13
J2329-0301	352.284500	-3.033000	23:29:08.28	-03:01:58.80	6.42	1440	2021-09-05	21.988	0.736	0.496	2.570	21.560	0.250	0.033	21.593	0.395	0.555	0.777	SOFI/NNT	Willott2007	2006-11-07
J2329-0301	352.284500	-3.033000	23:29:08.28	-03:01:58.80	6.42	1440	2021-09-05	21.730	0.836	0.538	2.329	21.560	0.250	0.033	21.593	0.137	0.594	0.873	SOFI/NNT	Willott2007	2006-11-07
J2329-1520	352.403485	-15.337350	23:29:36.84	-15:20:14.46	5.83	1440	2021-09-16	20.914	0.198	0.176	8.381	20.990	0.030	0.045	21.035	-0.120	0.178	0.201	FourStar	Banados18b	2017-09-25
J2329-1520	352.403485	-15.337350	23:29:36.84	-15:20:14.46	5.83	1440	2021-09-16	20.676	0.225	0.196	7.456	20.990	0.030	0.045	21.035	-0.359	0.198	0.227	FourStar	Banados18b	2017-09-25
